_id,Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
108,803,Saavedra Galindo, -,81,53, -, -, -,16,2
109,804,Uribe Uribe, -,27,20, -, -, -,2,2
110,805,Santa Mónica Popular, -, -,80, -, -, -,6,3
111,806,La Floresta, -,21,135, -, -, -,13,3
112,807,Benjamín Herrera, -,21,90, -, -, -,23,3
113,808,Municipal, -,6,64, -, -, -,14,3
114,809,Industrial, -,56, -, -, -, -,110,2
115,810,El Troncal, -,60,177, -, -, -,42,3
116,811,Las Américas, -, -,73, -, -, -,17,3
117,812,Atanasio Girardot, -,1,152, -, -, -,11,3
118,813,Santa Fe, -, -,124, -, -, -,12,3
119,814,Chapinero, -, -,152, -, -, -,23,3
120,815,Villa Colombia, -, -,189, -, -, -,36,3
121,816,EL Trebol, -, -,99, -, -, -,22,3
122,817,La Base, -,2,161, -, -, -,32,3
123,818,Urbanización La Base, -, -,192, -, -, -,45,3
124,901,Alameda, -, -,126, -, -, -,15,3
125,902,Bretaña, -, -,168, -, -, -,16,3
126,903,Junín, -, -,115, -, -, -,17,3
127,904,Guayaquil, -,3,242, -, -, -,23,3
128,905,Aranjuez, -, -,60, -, -, -,4,3
129,906,Manuel María Buenaventura, -, -,51, -, -, -,6,3
130,907,Santa Mónica Belalcazar, -, -,23, -, -, -,5,3
131,908,Belalcazar, -,28,128, -, -, -,41,3
132,909,Sucre,130,81,1, -, -, -,74,1
133,910,Barrio Obrero, -,145,1, -, -, -,45,2
134,1001,El Dorado, -, -,57, -, -, -,28,3
135,1002,El Guabal, -,8,344, -, -, -,73,3
136,1003,La Libertad, -, -,56, -, -, -,0,3
137,1004,Santa Elena, -,30,140, -, -, -,26,3
138,1005,Las Acacias, -, -,43, -, -, -,5,3
139,1006,Santo Domingo, -, -,54, -, -, -,2,3
140,1007,Jorge Zawadsky, -, -,73, -, -, -,3,3
141,1008,Olímpico, -, -,1,87, -, -,25,4
142,1009,Cristóbal Colón, -,9,260, -, -, -,20,3
143,1010,La Selva, -, -,60, -, -, -,26,3
144,1011,Barrio Departamental, -, -,1,133,2, -,23,4
145,1012,Pasoancho, -, -,17,23, -, -,8,4
146,1013,Panamericano, -, -,120,1, -, -,11,3
147,1014,Colseguros Andes, -, -,20,62,1, -,43,4
148,1015,San Cristóbal, -, -,84, -, -, -,7,3
149,1016,Las Granjas, -,7,77,3, -, -,11,3
150,1017,San Judas Tadeo I, -,49,125, -, -, -,5,3
151,1018,San Judas Tadeo II, -,17,77, -, -, -,22,3
152,1101,Barrio San Carlos, -, -,169, -, -, -,35,3
153,1102,Maracaibo, -, -,24, -, -, -,0,3
154,1103,La Independencia, -, -,257, -, -, -,16,3
155,1104,La Esperanza, -,1,46, -, -, -,2,3
156,1105,Urbanización Boyacá , -,11,36, -, -, -,2,3
157,1106,El Jardín, -,4,169, -, -, -,23,3
158,1107,La Fortaleza, -,31,84, -, -, -,9,3
159,1108,El Recuerdo, -, -,44, -, -, -,7,3
160,1109,Aguablanca, -,15,81, -, -, -,23,3
161,1110,El Prado, -,2,16, -, -, -,9,3
162,1111,20 de Julio, -, -,35, -, -, -,8,3
163,1112,Prados de Oriente, -, -,78, -, -, -,17,3
164,1113,Los Sauces,1,2,119, -, -, -,29,3
165,1114,Villa del Sur, -, -,112, -, -, -,62,3
166,1115,José Holguín Garcés, -, -,28, -, -, -,11,3
167,1116,León XIII, -,106, -, -, -, -,6,2
168,1117,José María Cordoba, -, -,27, -, -, -,9,3
169,1118,San Pedro Claver, -,105, -, -, -, -,12,2
170,1119,Los Conquistadores,4,97, -, -, -, -,9,2
171,1120,La Gran Colombia, -,34, -, -, -, -,6,2
172,1121,San Benito, -,60, -, -, -, -,7,2
173,1122,Primavera, -,71,62, -, -, -,34,2
174,1201,Villanueva, -,60, -, -, -, -,4,2
175,1202,Asturias, -,72, -, -, -, -,12,2
176,1203,Eduardo Santos, -,68, -, -, -, -,6,2
177,1204,Barrio Alfonso Barberena A., -,71, -, -, -, -,7,2
178,1205,El Paraiso, -, -,52, -, -, -,8,3
179,1206,Fenalco Kennedy, -, -,50, -, -, -,12,3
180,1207,Nueva Floresta, -,3,514, -, -, -,82,3
181,1208,Julio Rincón, -,32,1, -, -, -,22,2
182,2099,La Sultana,132, -, -, -, -, -,37,1
183,1209,Doce de Octubre, -,18,35, -, -, -,19,3
184,1210,El Rodeo, -,226, -, -, -, -,14,2
185,1211,Sindical, -,1,62, -, -, -,5,3
186,1212,Bello Horizonte, -, -,16, -, -, -, -,3
187,1301,Ulpiano Lloreda, -,110, -, -, -, -,32,2
188,1302,El Vergel,377, -, -, -, -, -,49,1
189,1303,El Poblado,9,211, -, -, -, -,72,2
190,1304,El Poblado II,105,234, -, -, -, -,62,2
191,1305,Los Comuneros II Etapa,2,173, -, -, -, -,77,2
192,1306,Ricardo Balcazar, -,97, -, -, -, -,22,2
193,1307,Omar Torrijos,4,109, -, -, -, -,26,2
194,1308,El Diamante,4,234, -, -, -, -,10,2
195,1309,Lleras Restrepo, -,26, -, -, -, -,9,2
196,1310,Villa del Lago,11,13,220, -, -, -,178,3
197,1311,Los Robles,5,116, -, -, -, -,42,2
198,1312,Rodrigo Lara Bonilla,23,80, -, -, -, -,9,2
